system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
HD 125612,HD 125612 b,2.974,True,1.0,,3.2025630761017436,,9.524422588326587,,1137.4844331742806
HD 125612,HD 125612 d,7.178,False,1.0,,3.2025630761017436,,,,1137.4844331742806
HD 60532,HD 60532 b,1.06,True,1.0,,3.098816822595088,,3.284745831950793,,55277.22495984155
HD 60532,HD 60532 c,2.51,True,1.0,,3.098816822595088,,7.77803022471367,,55277.22495984155
HD 48948,HD 48948 b,0.0153542,True,0.85,,2.955025456213378,,0.04537205185979145,,2009.6190334267226
HD 48948,HD 48948 c,0.02287398,True,0.85,,2.955025456213378,,0.06759319318491569,,2009.6190334267226
HD 48948,HD 48948 d,0.03331987,True,0.85,,2.955025456213378,,0.09846106404772045,,2009.6190334267226
TOI-1062,TOI-1062 b,0.03193547,False,1.0,,3.2182844231134156,,,,1126.0675864235511
TOI-1062,TOI-1062 c,0.03077132,True,1.0,,3.2182844231134156,,0.09903085983463832,,1126.0675864235511
HD 27894,HD 27894 b,0.619,True,1.0,9.566772233505626,3.0440342506980764,5.921832012539983,1.8842572011821093,6.000000000000001,4933.442465654171
HD 27894,HD 27894 c,0.162,True,1.0,9.566772233505626,3.0440342506980764,1.5498171018279114,0.4931335486130884,6.000000000000001,4933.442465654171
HD 27894,HD 27894 d,6.493,False,1.0,9.566772233505626,3.0440342506980764,,,6.000000000000001,4933.442465654171
HD 50499,HD 50499 b,1.636,True,1.0,9.566772233505626,2.7887981980005545,15.651239374015203,4.562473851928907,6.000000000000001,669979.7042481091
HD 50499,HD 50499 c,2.93,True,1.0,9.566772233505626,2.7887981980005545,28.030642644171486,8.171178720141626,6.000000000000001,669979.7042481091
Kepler-20,Kepler-20 b,0.03051961,False,0.7,5.758770483143634,2.5827121581465673,,,10.0,1011.9388127255455
Kepler-20,Kepler-20 e,0.00239123,False,0.7,5.758770483143634,2.5827121581465673,,,10.0,1011.9388127255455
Kepler-20,Kepler-20 c,0.03492451,False,0.7,5.758770483143634,2.5827121581465673,,,10.0,1011.9388127255455
Kepler-20,Kepler-20 f,0.00440489,False,0.7,5.758770483143634,2.5827121581465673,,,10.0,1011.9388127255455
Kepler-20,Kepler-20 g,0.06280087,True,0.7,5.758770483143634,2.5827121581465673,0.3616557964717405,0.162196570491182,10.0,1011.9388127255455
Kepler-20,Kepler-20 d,0.04216111,False,0.7,5.758770483143634,2.5827121581465673,,,10.0,1011.9388127255455
