system,planet,msini_mjup,swept,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
GJ 667 C,GJ 667 C e,0.008,True,3.627955278543301,0.029023642228346407,15.999999999999996,1972.073941626745
GJ 667 C,GJ 667 C g,0.014,True,3.627955278543301,0.05079137389960622,15.999999999999996,1972.073941626745
HD 184010,HD 184010 b,0.31,True,4.809734344744131,1.4910176468706806,12.000000000000002,78466.84279052498
HD 184010,HD 184010 c,0.3,True,4.809734344744131,1.4429203034232392,12.000000000000002,78466.84279052498
HD 184010,HD 184010 d,0.45,True,4.809734344744131,2.164380455134859,12.000000000000002,78466.84279052498
TOI-375,TOI-375 b,0.745,False,,,,2588.553652069517
TOI-375,TOI-375 c,2.106,True,,,,2588.553652069517
TOI-375,TOI-375 d,1.402,True,,,,2588.553652069517
HD 159868,HD 159868 c,0.768,True,,,,96098.56618232754
HD 159868,HD 159868 b,2.218,True,,,,96098.56618232754
HD 177830,HD 177830 c,0.15,True,,,,30362.766265918053
HD 177830,HD 177830 b,1.69,True,,,,30362.766265918053
HD 191939,HD 191939 b,0.03146352,False,,,,2431.3008854528825
HD 191939,HD 191939 c,0.02517081,False,,,,2431.3008854528825
HD 191939,HD 191939 d,0.00880979,False,,,,2431.3008854528825
HD 191939,HD 191939 e,0.35302068,True,,,,2431.3008854528825
HD 191939,HD 191939 g,0.04247575,True,,,,2431.3008854528825
HD 191939,HD 191939 f,2.88,True,,,,2431.3008854528825
rho CrB,rho CrB e,0.01167297,True,,,,3532.922981386898
rho CrB,rho CrB b,1.09491472,True,,,,3532.922981386898
rho CrB,rho CrB c,0.08634219,True,,,,3532.922981386898
75 Cet,75 Cet b,2.479,True,,,,190724.17198073264
75 Cet,75 Cet c,0.912,True,,,,190724.17198073264
HD 107148,HD 107148 c,0.0626,True,,,,5017.578103283515
HD 107148,HD 107148 b,0.21,True,,,,5017.578103283515
HD 219134,HD 219134 b,0.01491363,False,,,,846.7974117232748
HD 219134,HD 219134 c,0.01371803,False,,,,846.7974117232748
HD 219134,HD 219134 f,0.02296825,False,,,,846.7974117232748
HD 219134,HD 219134 d,0.05087625,False,,,,846.7974117232748
